,Folder,Id,Field,Well,CoringTop,CoringDown,CoringTopBind,CoringDownBind,CoreRecovery,PhotoTop,PhotoDown,PhotoType,LayerTop,LayerDown,Rock,Carbonate,Ruin,Saturation,class
1209,Unload1,1001465,Field3,Well9,798.0,805.0,798.7,805.7,6.9,5.7,5.95,УФ,5.7,6.06,алевро-аргиллит,не карбонатный,не разрушен,не опред.,0
1211,Unload1,1001467,Field3,Well9,798.0,805.0,798.7,805.7,6.9,5.95,6.06,УФ,5.7,6.06,алевро-аргиллит,не карбонатный,не разрушен,не опред.,0
1213,Unload1,1001469,Field3,Well9,798.0,805.0,798.7,805.7,6.9,6.06,6.2,УФ,6.06,6.2,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,не опред.,0
1215,Unload1,1001471,Field3,Well9,798.0,805.0,798.7,805.7,6.9,6.2,6.36,УФ,6.2,6.36,алевро-аргиллит,не карбонатный,не разрушен,не опред.,0
1217,Unload1,1001473,Field3,Well9,798.0,805.0,798.7,805.7,6.9,6.36,6.72,УФ,6.36,6.72,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
1219,Unload1,1001475,Field3,Well9,798.0,805.0,798.7,805.7,6.9,6.72,6.9,УФ,6.72,6.9,алевро-аргиллит,не карбонатный,не разрушен,не опред.,0
1221,Unload1,1001477,Field3,Well9,805.0,807.1,805.7,807.8,2.0,0.0,0.99,УФ,0.0,2.0,"пересл. песчаника, алевролита и глин",с карбонатными обломками или конкрециями,не разрушен,не опред.,0
1223,Unload1,1001479,Field3,Well9,805.0,807.1,805.7,807.8,2.0,0.99,2.0,УФ,0.0,2.0,"пересл. песчаника, алевролита и глин",с карбонатными обломками или конкрециями,не разрушен,не опред.,0
1225,Unload1,1001481,Field3,Well9,807.1,814.0,807.8,814.7,6.74,0.0,0.33,УФ,0.0,0.33,глина,не карбонатный,не разрушен,не опред.,0
1227,Unload1,1001483,Field3,Well9,807.1,814.0,807.8,814.7,6.74,0.33,0.86,УФ,0.33,1.74,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
1229,Unload1,1001485,Field3,Well9,807.1,814.0,807.8,814.7,6.74,0.86,1.74,УФ,0.33,1.74,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
1231,Unload1,1001487,Field3,Well9,807.1,814.0,807.8,814.7,6.74,1.74,1.84,УФ,1.74,3.76,алевролит,не карбонатный,не разрушен,не опред.,0
1233,Unload1,1001489,Field3,Well9,807.1,814.0,807.8,814.7,6.74,1.84,2.83,УФ,1.74,3.76,алевролит,не карбонатный,не разрушен,не опред.,0
1235,Unload1,1001491,Field3,Well9,807.1,814.0,807.8,814.7,6.74,2.83,3.76,УФ,1.74,3.76,алевролит,не карбонатный,не разрушен,не опред.,0
1237,Unload1,1001493,Field3,Well9,807.1,814.0,807.8,814.7,6.74,3.76,3.99,УФ,3.76,3.99,аргиллит,не карбонатный,не разрушен,не опред.,0
1239,Unload1,1001495,Field3,Well9,807.1,814.0,807.8,814.7,6.74,3.99,4.14,УФ,3.99,4.14,аргиллит,не карбонатный,не разрушен,не опред.,0
1241,Unload1,1001497,Field3,Well9,807.1,814.0,807.8,814.7,6.74,4.14,4.75,УФ,4.14,6.74,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
1243,Unload1,1001499,Field3,Well9,807.1,814.0,807.8,814.7,6.74,4.75,5.75,УФ,4.14,6.74,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
1245,Unload1,1001501,Field3,Well9,807.1,814.0,807.8,814.7,6.74,5.75,6.74,УФ,4.14,6.74,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
1247,Unload1,1001503,Field3,Well9,814.0,821.0,814.7,821.7,6.75,0.0,0.74,УФ,0.0,0.74,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1249,Unload1,1001505,Field3,Well9,814.0,821.0,814.7,821.7,6.75,0.74,0.98,УФ,0.74,1.07,песчаник,сильнокарбонатный,не разрушен,не опред.,0
1251,Unload1,1001507,Field3,Well9,814.0,821.0,814.7,821.7,6.75,0.98,1.07,УФ,0.74,1.07,песчаник,сильнокарбонатный,не разрушен,не опред.,0
1253,Unload1,1001509,Field3,Well9,814.0,821.0,814.7,821.7,6.75,1.07,1.18,УФ,1.07,1.18,песчаник,сильнокарбонатный,не разрушен,нефтенасыщенные,1
1255,Unload1,1001511,Field3,Well9,814.0,821.0,814.7,821.7,6.75,1.18,1.96,УФ,1.18,3.01,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1257,Unload1,1001513,Field3,Well9,814.0,821.0,814.7,821.7,6.75,1.96,2.93,УФ,1.18,3.01,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1259,Unload1,1001515,Field3,Well9,814.0,821.0,814.7,821.7,6.75,2.93,3.01,УФ,1.18,3.01,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1261,Unload1,1001517,Field3,Well9,814.0,821.0,814.7,821.7,6.75,3.01,3.44,УФ,3.01,3.44,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1263,Unload1,1001519,Field3,Well9,814.0,821.0,814.7,821.7,6.75,3.44,3.91,УФ,3.44,6.75,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1265,Unload1,1001521,Field3,Well9,814.0,821.0,814.7,821.7,6.75,3.91,4.91,УФ,3.44,6.75,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1267,Unload1,1001523,Field3,Well9,814.0,821.0,814.7,821.7,6.75,4.91,5.9,УФ,3.44,6.75,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1269,Unload1,1001525,Field3,Well9,814.0,821.0,814.7,821.7,6.75,5.9,6.75,УФ,3.44,6.75,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1271,Unload1,1001527,Field3,Well9,821.0,828.0,821.7,828.7,6.21,0.0,0.54,УФ,0.0,6.21,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1273,Unload1,1001529,Field3,Well9,821.0,828.0,821.7,828.7,6.21,0.54,1.51,УФ,0.0,6.21,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1275,Unload1,1001531,Field3,Well9,821.0,828.0,821.7,828.7,6.21,1.51,2.45,УФ,0.0,6.21,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1277,Unload1,1001533,Field3,Well9,821.0,828.0,821.7,828.7,6.21,2.45,3.42,УФ,0.0,6.21,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1279,Unload1,1001535,Field3,Well9,821.0,828.0,821.7,828.7,6.21,3.42,4.36,УФ,0.0,6.21,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1281,Unload1,1001537,Field3,Well9,821.0,828.0,821.7,828.7,6.21,4.36,5.34,УФ,0.0,6.21,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1283,Unload1,1001539,Field3,Well9,821.0,828.0,821.7,828.7,6.21,5.34,6.21,УФ,0.0,6.21,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1285,Unload1,1001541,Field3,Well9,828.0,835.0,828.7,835.7,6.79,0.0,0.74,УФ,0.0,0.74,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1287,Unload1,1001543,Field3,Well9,828.0,835.0,828.7,835.7,6.79,0.74,0.88,УФ,0.74,0.88,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
1289,Unload1,1001545,Field3,Well9,828.0,835.0,828.7,835.7,6.79,0.88,0.9,УФ,0.88,2.49,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
1291,Unload1,1001547,Field3,Well9,828.0,835.0,828.7,835.7,6.79,0.9,1.88,УФ,0.88,2.49,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
1293,Unload1,1001549,Field3,Well9,828.0,835.0,828.7,835.7,6.79,1.88,2.49,УФ,0.88,2.49,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
1295,Unload1,1001551,Field3,Well9,828.0,835.0,828.7,835.7,6.79,2.49,2.86,УФ,2.49,3.2,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1297,Unload1,1001553,Field3,Well9,828.0,835.0,828.7,835.7,6.79,2.86,3.2,УФ,2.49,3.2,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1299,Unload1,1001555,Field3,Well9,828.0,835.0,828.7,835.7,6.79,3.2,3.58,УФ,3.2,3.58,аргиллит,не карбонатный,не разрушен,не опред.,0
1301,Unload1,1001557,Field3,Well9,828.0,835.0,828.7,835.7,6.79,3.58,3.85,УФ,3.58,4.49,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1303,Unload1,1001559,Field3,Well9,828.0,835.0,828.7,835.7,6.79,3.85,4.49,УФ,3.58,4.49,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1305,Unload1,1001561,Field3,Well9,828.0,835.0,828.7,835.7,6.79,4.49,4.83,УФ,4.49,4.83,алевролит,не карбонатный,не разрушен,не опред.,0
1307,Unload1,1001563,Field3,Well9,828.0,835.0,828.7,835.7,6.79,4.83,5.06,УФ,4.83,5.06,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1309,Unload1,1001565,Field3,Well9,828.0,835.0,828.7,835.7,6.79,5.06,5.31,УФ,5.06,5.31,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,не опред.,0
1311,Unload1,1001567,Field3,Well9,828.0,835.0,828.7,835.7,6.79,5.31,5.8,УФ,5.31,5.97,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1313,Unload1,1001569,Field3,Well9,828.0,835.0,828.7,835.7,6.79,5.8,5.97,УФ,5.31,5.97,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1315,Unload1,1001571,Field3,Well9,828.0,835.0,828.7,835.7,6.79,5.97,6.5,УФ,5.97,6.5,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
1317,Unload1,1001573,Field3,Well9,828.0,835.0,828.7,835.7,6.79,6.5,6.79,УФ,6.5,6.79,аргиллит,не карбонатный,не разрушен,не опред.,0
1319,Unload1,1001575,Field3,Well9,835.0,842.0,835.7,842.7,5.36,0.0,0.2,УФ,0.0,0.2,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1321,Unload1,1001577,Field3,Well9,835.0,842.0,835.7,842.7,5.36,0.2,0.56,УФ,0.2,0.86,"пересл. песчаника, алевролита и глин",не карбонатный,частично разрушен,нефтенасыщенные,1
1323,Unload1,1001579,Field3,Well9,835.0,842.0,835.7,842.7,5.36,0.56,0.86,УФ,0.2,0.86,"пересл. песчаника, алевролита и глин",не карбонатный,частично разрушен,нефтенасыщенные,1
1325,Unload1,1001581,Field3,Well9,835.0,842.0,835.7,842.7,5.36,0.86,1.54,УФ,0.86,1.54,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1327,Unload1,1001583,Field3,Well9,835.0,842.0,835.7,842.7,5.36,1.54,1.84,УФ,1.54,1.84,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,слабо нефтенасыщенные,5
1329,Unload1,1001585,Field3,Well9,835.0,842.0,835.7,842.7,5.36,1.84,2.35,УФ,1.84,2.35,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1331,Unload1,1001587,Field3,Well9,835.0,842.0,835.7,842.7,5.36,2.35,2.51,УФ,2.35,4.67,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1333,Unload1,1001589,Field3,Well9,835.0,842.0,835.7,842.7,5.36,2.51,3.48,УФ,2.35,4.67,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1335,Unload1,1001591,Field3,Well9,835.0,842.0,835.7,842.7,5.36,3.48,4.43,УФ,2.35,4.67,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1337,Unload1,1001593,Field3,Well9,835.0,842.0,835.7,842.7,5.36,4.43,4.67,УФ,2.35,4.67,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1339,Unload1,1001595,Field3,Well9,835.0,842.0,835.7,842.7,5.36,4.67,5.36,УФ,4.67,5.36,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1341,Unload1,1001597,Field3,Well9,842.0,848.0,842.7,848.7,3.43,0.0,0.49,УФ,0.0,0.49,песчаник,не карбонатный,разрушен,нефтенасыщенные,1
1343,Unload1,1001599,Field3,Well9,842.0,848.0,842.7,848.7,3.43,0.49,0.58,УФ,0.49,0.99,песчаник,не карбонатный,разрушен,нефтенасыщенные,1
1345,Unload1,1001601,Field3,Well9,842.0,848.0,842.7,848.7,3.43,0.58,0.6,УФ,0.49,0.99,песчаник,не карбонатный,разрушен,нефтенасыщенные,1
1347,Unload1,1001603,Field3,Well9,842.0,848.0,842.7,848.7,3.43,0.6,0.99,УФ,0.49,0.99,песчаник,не карбонатный,разрушен,нефтенасыщенные,1
1349,Unload1,1001605,Field3,Well9,842.0,848.0,842.7,848.7,3.43,0.99,1.47,УФ,0.99,3.43,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1351,Unload1,1001607,Field3,Well9,842.0,848.0,842.7,848.7,3.43,1.47,2.45,УФ,0.99,3.43,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1353,Unload1,1001609,Field3,Well9,842.0,848.0,842.7,848.7,3.43,2.45,3.43,УФ,0.99,3.43,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1355,Unload1,1001611,Field3,Well9,848.0,853.0,848.7,853.7,4.2,0.0,0.4,УФ,0.0,0.4,песчаник,не карбонатный,разрушен,нефтенасыщенные,1
1357,Unload1,1001613,Field3,Well9,848.0,853.0,848.7,853.7,4.2,0.4,0.96,УФ,0.4,0.96,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1359,Unload1,1001615,Field3,Well9,848.0,853.0,848.7,853.7,4.2,0.96,1.38,УФ,0.96,1.62,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1361,Unload1,1001617,Field3,Well9,848.0,853.0,848.7,853.7,4.2,1.38,1.62,УФ,0.96,1.62,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1363,Unload1,1001619,Field3,Well9,848.0,853.0,848.7,853.7,4.2,1.62,2.33,УФ,1.62,3.1,"пересл. песчаника, алевролита и глин",не карбонатный,частично разрушен,нефтенасыщенные,1
1365,Unload1,1001621,Field3,Well9,848.0,853.0,848.7,853.7,4.2,2.33,3.1,УФ,1.62,3.1,"пересл. песчаника, алевролита и глин",не карбонатный,частично разрушен,нефтенасыщенные,1
1367,Unload1,1001623,Field3,Well9,848.0,853.0,848.7,853.7,4.2,3.1,3.3,УФ,3.1,3.34,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1369,Unload1,1001625,Field3,Well9,848.0,853.0,848.7,853.7,4.2,3.3,3.34,УФ,3.1,3.34,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1371,Unload1,1001627,Field3,Well9,848.0,853.0,848.7,853.7,4.2,3.34,4.2,УФ,3.34,4.2,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1373,Unload1,1001629,Field3,Well9,853.0,858.0,853.7,858.7,4.87,0.0,0.63,УФ,0.0,0.63,песчаник,не карбонатный,частично разрушен,нефтенасыщенные,1
1375,Unload1,1001631,Field3,Well9,853.0,858.0,853.7,858.7,4.87,0.63,0.97,УФ,0.63,2.8,песчаник,среднекарбонатный,не разрушен,не опред.,0
1377,Unload1,1001633,Field3,Well9,853.0,858.0,853.7,858.7,4.87,0.97,1.91,УФ,0.63,2.8,песчаник,среднекарбонатный,не разрушен,не опред.,0
1379,Unload1,1001635,Field3,Well9,853.0,858.0,853.7,858.7,4.87,1.91,2.8,УФ,0.63,2.8,песчаник,среднекарбонатный,не разрушен,не опред.,0
1381,Unload1,1001637,Field3,Well9,853.0,858.0,853.7,858.7,4.87,2.8,2.91,УФ,2.8,3.9,песчаник,не карбонатный,частично разрушен,не опред.,0
1383,Unload1,1001639,Field3,Well9,853.0,858.0,853.7,858.7,4.87,2.91,3.9,УФ,2.8,3.9,песчаник,не карбонатный,частично разрушен,не опред.,0
1385,Unload1,1001641,Field3,Well9,853.0,858.0,853.7,858.7,4.87,3.9,4.5,УФ,3.9,4.5,песчаник,слабокарбонатный,частично разрушен,не опред.,0
1387,Unload1,1001643,Field3,Well9,853.0,858.0,853.7,858.7,4.87,4.5,4.87,УФ,4.5,4.87,песчаник,не карбонатный,частично разрушен,не опред.,0
1389,Unload1,1001645,Field3,Well9,858.0,864.0,858.7,864.7,5.22,0.0,0.11,УФ,0.0,0.11,песчаник,слабокарбонатный,разрушен,не опред.,0
1391,Unload1,1001647,Field3,Well9,858.0,864.0,858.7,864.7,5.22,0.11,0.36,УФ,0.11,0.36,аргиллит,с карбонатными обломками или конкрециями,частично разрушен,не опред.,0
1393,Unload1,1001649,Field3,Well9,858.0,864.0,858.7,864.7,5.22,0.36,0.43,УФ,0.36,2.07,песчаник,не карбонатный,частично разрушен,не опред.,0
1395,Unload1,1001651,Field3,Well9,858.0,864.0,858.7,864.7,5.22,0.43,1.39,УФ,0.36,2.07,песчаник,не карбонатный,частично разрушен,не опред.,0
1397,Unload1,1001653,Field3,Well9,858.0,864.0,858.7,864.7,5.22,1.39,2.07,УФ,0.36,2.07,песчаник,не карбонатный,частично разрушен,не опред.,0
1399,Unload1,1001655,Field3,Well9,858.0,864.0,858.7,864.7,5.22,2.07,2.23,УФ,2.07,2.23,аргиллит,с карбонатными обломками или конкрециями,частично разрушен,не опред.,0
1401,Unload1,1001657,Field3,Well9,858.0,864.0,858.7,864.7,5.22,2.23,2.35,УФ,2.23,2.74,песчаник,не карбонатный,частично разрушен,не опред.,0
1403,Unload1,1001659,Field3,Well9,858.0,864.0,858.7,864.7,5.22,2.35,2.74,УФ,2.23,2.74,песчаник,не карбонатный,частично разрушен,не опред.,0
1405,Unload1,1001661,Field3,Well9,858.0,864.0,858.7,864.7,5.22,2.74,3.26,УФ,2.74,3.26,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,не опред.,0
1407,Unload1,1001663,Field3,Well9,858.0,864.0,858.7,864.7,5.22,3.26,3.34,УФ,3.26,4.77,песчаник,не карбонатный,частично разрушен,не опред.,0
1409,Unload1,1001665,Field3,Well9,858.0,864.0,858.7,864.7,5.22,3.34,4.27,УФ,3.26,4.77,песчаник,не карбонатный,частично разрушен,не опред.,0
1411,Unload1,1001667,Field3,Well9,858.0,864.0,858.7,864.7,5.22,4.27,4.77,УФ,3.26,4.77,песчаник,не карбонатный,частично разрушен,не опред.,0
1413,Unload1,1001669,Field3,Well9,858.0,864.0,858.7,864.7,5.22,4.77,5.22,УФ,4.77,5.22,"пересл. песчаника, алевролита и глин",с карбонатными обломками или конкрециями,частично разрушен,не опред.,0
1415,Unload2,1000001,Field4,Well4,2683.0,2692.0,2682.5,2691.5,8.98,0.0,0.48,УФ,0.0,0.48,песчаник,слабокарбонатный,не разрушен,не опред.,0
1417,Unload2,1000003,Field4,Well4,2683.0,2692.0,2682.5,2691.5,8.98,0.48,0.97,УФ,0.48,3.11,"пересл. песчаника, алевролита и глин",с карбонатными обломками или конкрециями,не разрушен,не опред.,0
1419,Unload2,1000005,Field4,Well4,2683.0,2692.0,2682.5,2691.5,8.98,0.97,1.97,УФ,0.48,3.11,"пересл. песчаника, алевролита и глин",с карбонатными обломками или конкрециями,не разрушен,не опред.,0
1421,Unload2,1000007,Field4,Well4,2683.0,2692.0,2682.5,2691.5,8.98,1.97,2.97,УФ,0.48,3.11,"пересл. песчаника, алевролита и глин",с карбонатными обломками или конкрециями,не разрушен,не опред.,0
1423,Unload2,1000009,Field4,Well4,2683.0,2692.0,2682.5,2691.5,8.98,2.97,3.11,УФ,0.48,3.11,"пересл. песчаника, алевролита и глин",с карбонатными обломками или конкрециями,не разрушен,не опред.,0
1425,Unload2,1000011,Field4,Well4,2683.0,2692.0,2682.5,2691.5,8.98,3.11,3.98,УФ,3.11,8.98,"пересл. песчаника, алевролита и глин",с карбонатными обломками или конкрециями,не разрушен,не опред.,0
1427,Unload2,1000013,Field4,Well4,2683.0,2692.0,2682.5,2691.5,8.98,3.98,4.98,УФ,3.11,8.98,"пересл. песчаника, алевролита и глин",с карбонатными обломками или конкрециями,не разрушен,не опред.,0
1429,Unload2,1000015,Field4,Well4,2683.0,2692.0,2682.5,2691.5,8.98,4.98,5.98,УФ,3.11,8.98,"пересл. песчаника, алевролита и глин",с карбонатными обломками или конкрециями,не разрушен,не опред.,0
1431,Unload2,1000017,Field4,Well4,2683.0,2692.0,2682.5,2691.5,8.98,5.98,6.98,УФ,3.11,8.98,"пересл. песчаника, алевролита и глин",с карбонатными обломками или конкрециями,не разрушен,не опред.,0
1433,Unload2,1000019,Field4,Well4,2683.0,2692.0,2682.5,2691.5,8.98,6.98,7.98,УФ,3.11,8.98,"пересл. песчаника, алевролита и глин",с карбонатными обломками или конкрециями,не разрушен,не опред.,0
1435,Unload2,1000021,Field4,Well4,2683.0,2692.0,2682.5,2691.5,8.98,7.98,8.98,УФ,3.11,8.98,"пересл. песчаника, алевролита и глин",с карбонатными обломками или конкрециями,не разрушен,не опред.,0
1437,Unload2,1000023,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,0.0,0.55,УФ,0.0,0.55,"пересл. песчаника, алевролита и глин",с карбонатными обломками или конкрециями,не разрушен,не опред.,0
1439,Unload2,1000025,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,0.55,0.98,УФ,0.55,3.22,песчаник,пятнисто карбонатный,не разрушен,не опред.,0
1441,Unload2,1000027,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,0.98,1.98,УФ,0.55,3.22,песчаник,пятнисто карбонатный,не разрушен,не опред.,0
1443,Unload2,1000029,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,1.98,2.98,УФ,0.55,3.22,песчаник,пятнисто карбонатный,не разрушен,не опред.,0
1445,Unload2,1000031,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,2.98,3.22,УФ,0.55,3.22,песчаник,пятнисто карбонатный,не разрушен,не опред.,0
1447,Unload2,1000033,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,3.22,3.48,УФ,3.22,3.48,песчаник,не карбонатный,не разрушен,не опред.,0
1449,Unload2,1000035,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,3.48,3.79,УФ,3.48,3.79,пересл. аргиллита и алевролита,не карбонатный,не разрушен,не опред.,0
1451,Unload2,1000037,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,3.79,3.98,УФ,3.79,4.92,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1453,Unload2,1000039,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,3.98,4.92,УФ,3.79,4.92,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
1455,Unload2,1000041,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,4.92,4.98,УФ,4.92,5.88,пересл. аргиллита и алевролита,не карбонатный,не разрушен,не опред.,0
1457,Unload2,1000043,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,4.98,5.88,УФ,4.92,5.88,пересл. аргиллита и алевролита,не карбонатный,не разрушен,не опред.,0
1459,Unload2,1000045,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,5.88,5.97,УФ,5.88,6.91,песчаник,не карбонатный,не разрушен,не опред.,0
1461,Unload2,1000047,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,5.97,6.91,УФ,5.88,6.91,песчаник,не карбонатный,не разрушен,не опред.,0
1463,Unload2,1000049,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,6.91,6.96,УФ,6.91,7.15,пересл. аргиллита и алевролита,не карбонатный,не разрушен,не опред.,0
1465,Unload2,1000051,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,6.96,7.15,УФ,6.91,7.15,пересл. аргиллита и алевролита,не карбонатный,не разрушен,не опред.,0
1467,Unload2,1000053,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,7.15,7.75,УФ,7.15,7.75,песчаник,не карбонатный,не разрушен,не опред.,0
1469,Unload2,1000055,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,7.75,7.97,УФ,7.75,8.25,песчаник,пятнисто карбонатный,не разрушен,не опред.,0
1471,Unload2,1000057,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,7.97,8.25,УФ,7.75,8.25,песчаник,пятнисто карбонатный,не разрушен,не опред.,0
1473,Unload2,1000059,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,8.25,8.39,УФ,8.25,8.39,пересл. аргиллита и алевролита,не карбонатный,не разрушен,не опред.,0
1475,Unload2,1000061,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,8.39,8.77,УФ,8.39,8.77,песчаник,не карбонатный,не разрушен,не опред.,0
1477,Unload2,1000063,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,8.77,8.96,УФ,8.77,9.14,пересл. аргиллита и алевролита,не карбонатный,не разрушен,не опред.,0
1479,Unload2,1000065,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,8.96,9.14,УФ,8.77,9.14,пересл. аргиллита и алевролита,не карбонатный,не разрушен,не опред.,0
1481,Unload2,1000067,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,9.14,9.44,УФ,9.14,9.44,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,не опред.,0
1483,Unload2,1000069,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,9.44,9.57,УФ,9.44,9.57,песчаник,не карбонатный,не разрушен,не опред.,0
1485,Unload2,1000071,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,9.57,9.81,УФ,9.57,9.81,алевролит,с карбонатными обломками или конкрециями,не разрушен,не опред.,0
1487,Unload2,1000073,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,9.81,9.95,УФ,9.81,10.17,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,не опред.,0
1489,Unload2,1000075,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,9.95,10.17,УФ,9.81,10.17,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,не опред.,0
1491,Unload2,1000077,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,10.17,10.41,УФ,10.17,10.41,переслаивание песчаника и алевролита,не карбонатный,не разрушен,не опред.,0
1493,Unload2,1000079,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,10.41,10.94,УФ,10.41,10.94,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,не опред.,0
1495,Unload2,1000081,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,10.94,11.1,УФ,10.94,11.1,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
1497,Unload2,1000083,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,11.1,11.49,УФ,11.1,11.49,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,не опред.,0
1499,Unload2,1000085,Field4,Well4,2692.0,2710.0,2691.5,2709.5,17.87,11.49,11.74,УФ,11.49,11.74,песчаник,не карбонатный,не разрушен,не опред.,0
